ID,Sex,Age,Address,Family_size,Parent_cohabitation_status,Mother_education_level ,Father_education_level,Mother_job,Father_job,Guardian,Traveltime,Studytime,Failures,School_support,Family_support,Parent_aid,Activities,Nursery_attend,Access_internet,In_Romantic_relationship,Family_relative,Freetime,Goout,Health,Absences,State,Race,Math_score,Reading_score,Writing_score,Attendance_rate,Suspensions,Expulsions,Teacher_support,Counseling,Social_worker_visits,Parental_involvement
ID-2880,Male,17,Rural,greater than 3,Together,primary (4th grade),higher education,at_home,teacher,father,3,3,1,yes,no,no,yes,no,yes,no,5,3,1,poor,43,California,White,65,48,7,91.85,3,0,yes,no,3,low
ID-4616,Male,18,Rural,greater than 3,Together,primary (5th-9th grade),primary (5th-9th grade),at_home,teacher,mother,1,4,2,no,no,no,no,yes,yes,yes,5,2,1,peak,38,California,Hispanic,71,11,45,75.24,2,1,no,no,4,medium
ID-2840,Male,17,Rural,greater than 3,Together,secondary,primary (4th grade),at_home,teacher,father,1,3,2,yes,no,yes,yes,yes,no,yes,5,4,5,poor,68,Texas,African American,85,7,30,96.5,0,1,yes,yes,4,low
ID-2260,Male,19,Rural,greater than 3,Together,higher education,primary (4th grade),services,at_home,mother,4,3,4,yes,no,no,yes,no,yes,yes,3,2,5,excellent,3,California,African American,55,84,65,76.75,3,0,no,yes,2,medium
ID-708,Male,15,Rural,greater than 3,Together,higher education,none,at_home,services,other,2,3,2,yes,no,yes,yes,no,no,no,4,2,1,excellent,89,Florida,Asian,26,40,61,81.04,3,0,no,no,1,medium
ID-1176,Male,19,Rural,greater than 3,Apart,primary (5th-9th grade),none,health,at_home,other,2,4,4,no,yes,yes,no,yes,yes,no,1,3,3,fair,73,Texas,Asian,17,23,17,96.01,2,1,no,yes,0,low
ID-709,Male,16,Rural,greater than 3,Together,higher education,higher education,at_home,teacher,father,3,1,3,yes,yes,yes,no,yes,yes,no,2,1,2,excellent,90,California,White,62,35,54,80.29,1,1,yes,yes,1,medium
ID-3714,Male,16,Rural,greater than 3,Together,primary (5th-9th grade),higher education,teacher,teacher,father,4,4,2,no,no,yes,no,yes,yes,yes,5,5,3,fair,6,Florida,African American,79,1,84,87.66,3,0,no,yes,3,low
ID-4707,Male,18,Rural,greater than 3,Apart,primary (5th-9th grade),primary (5th-9th grade),at_home,at_home,other,3,2,4,no,no,no,no,yes,no,no,5,5,1,good,68,Florida,African American,25,28,36,79.72,0,0,no,no,4,low
ID-643,Male,19,Rural,greater than 3,Apart,primary (5th-9th grade),higher education,other,health,father,3,3,2,no,yes,no,no,yes,no,yes,5,1,1,poor,51,Texas,Other,21,12,85,84.36,2,1,yes,yes,0,low
ID-2400,Male,18,Rural,greater than 3,Together,none,higher education,other,at_home,father,4,2,4,no,yes,no,no,no,no,yes,2,4,3,good,27,California,Hispanic,57,88,29,84.11,0,1,yes,no,0,high
ID-2803,Male,18,Rural,greater than 3,Apart,none,secondary,services,services,mother,3,4,4,no,yes,yes,yes,no,no,no,3,3,4,peak,14,California,White,0,6,82,84.27,0,0,yes,yes,4,low
ID-4689,Male,16,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),health,health,mother,1,4,3,yes,no,yes,yes,yes,no,no,4,1,3,excellent,32,California,White,95,39,20,81.01,3,0,no,yes,4,high
ID-4221,Male,18,Rural,greater than 3,Together,secondary,primary (5th-9th grade),teacher,other,father,1,1,2,yes,no,no,yes,yes,no,yes,4,2,3,poor,91,Texas,Hispanic,45,99,77,91.68,0,0,yes,no,0,high
ID-2336,Male,16,Rural,greater than 3,Together,secondary,primary (4th grade),services,at_home,other,2,2,4,no,yes,yes,yes,no,yes,no,1,3,1,excellent,47,California,Other,85,58,12,80.29,2,1,no,yes,4,high
ID-2912,Male,15,Rural,greater than 3,Apart,higher education,primary (4th grade),teacher,other,mother,2,4,4,no,yes,no,yes,yes,yes,no,2,3,1,peak,83,California,Asian,26,57,98,74.09,1,0,no,no,0,high
ID-1308,Male,19,Rural,greater than 3,Together,secondary,primary (5th-9th grade),other,services,father,2,4,4,no,no,yes,yes,yes,no,yes,3,2,4,peak,78,California,Other,43,99,18,87.92,3,0,no,yes,4,low
ID-4310,Male,18,Rural,greater than 3,Together,primary (4th grade),primary (4th grade),other,health,father,4,2,4,yes,yes,yes,no,yes,yes,yes,5,2,5,good,63,Florida,Asian,32,10,3,78.34,3,0,no,yes,3,high
ID-1843,Male,16,Rural,greater than 3,Apart,primary (4th grade),primary (4th grade),services,other,mother,4,1,4,yes,no,yes,no,no,no,no,3,4,2,excellent,67,Florida,Asian,93,28,20,71.16,3,1,no,yes,4,high
ID-2113,Male,17,Rural,greater than 3,Apart,secondary,none,health,health,mother,4,4,4,no,no,yes,no,no,yes,yes,3,3,3,excellent,26,Texas,Other,82,16,23,71.36,2,1,no,no,1,medium
ID-586,Male,18,Rural,greater than 3,Together,secondary,secondary,teacher,health,other,2,2,3,yes,no,yes,yes,yes,no,no,4,1,4,fair,13,California,White,32,12,44,84.64,1,0,yes,no,4,medium
ID-4005,Male,15,Rural,greater than 3,Apart,primary (4th grade),primary (4th grade),teacher,at_home,other,2,2,4,yes,yes,no,yes,yes,yes,yes,3,2,3,fair,76,California,African American,53,8,12,99.05,3,0,no,no,1,high
ID-810,Male,15,Rural,greater than 3,Apart,none,primary (5th-9th grade),health,at_home,father,3,4,2,no,no,no,no,yes,yes,yes,1,2,5,fair,52,Texas,White,24,93,21,72.34,0,0,no,yes,2,high
ID-2785,Male,17,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),teacher,health,other,3,1,3,no,yes,yes,no,no,yes,no,1,4,1,fair,65,Florida,African American,5,41,86,79.94,3,1,yes,no,1,low
ID-2596,Male,16,Rural,greater than 3,Together,primary (4th grade),secondary,at_home,teacher,mother,2,4,1,yes,no,no,yes,no,yes,yes,3,5,3,poor,49,Texas,White,47,8,48,71.18,1,0,yes,no,0,low
ID-285,Male,18,Rural,greater than 3,Apart,none,primary (5th-9th grade),at_home,teacher,mother,2,3,1,no,yes,yes,yes,yes,no,no,5,3,3,good,42,Florida,Other,92,20,47,88.94,0,0,no,no,2,medium
ID-243,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),primary (5th-9th grade),teacher,teacher,other,3,4,4,no,no,no,no,yes,no,no,1,4,2,poor,40,California,Other,59,77,16,87.35,3,0,yes,no,4,low
ID-3779,Male,15,Rural,greater than 3,Together,none,none,services,services,father,1,3,2,yes,yes,yes,no,yes,no,yes,3,4,1,good,46,Florida,Other,61,26,19,78.5,2,0,no,no,1,medium
ID-1291,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),none,health,health,father,4,2,4,yes,no,no,yes,no,yes,yes,1,3,1,peak,44,California,African American,14,54,31,92.79,0,0,yes,no,4,low
ID-744,Male,15,Rural,greater than 3,Together,none,secondary,at_home,health,other,1,2,3,no,yes,yes,yes,no,yes,no,3,4,1,peak,92,Texas,White,75,34,49,70.87,1,1,no,no,3,low
ID-3694,Male,16,Rural,greater than 3,Together,primary (4th grade),primary (4th grade),health,services,father,2,1,4,no,yes,no,no,yes,yes,yes,5,1,3,poor,64,Texas,Asian,58,90,61,73.77,1,1,no,no,1,high
ID-4889,Male,17,Rural,greater than 3,Together,primary (4th grade),secondary,teacher,teacher,other,3,3,1,no,yes,no,no,yes,no,yes,5,1,5,excellent,16,Florida,White,37,39,14,71.74,0,0,no,yes,4,medium
ID-3028,Male,19,Rural,greater than 3,Apart,secondary,none,teacher,other,other,4,4,1,yes,yes,yes,no,yes,yes,no,1,1,5,poor,43,Florida,White,14,88,41,80.14,3,0,no,no,0,low
ID-2891,Male,17,Rural,greater than 3,Apart,secondary,primary (4th grade),teacher,other,father,1,3,1,no,yes,no,yes,no,yes,no,2,4,2,peak,56,Texas,Hispanic,30,11,10,85.16,1,1,yes,no,1,low
ID-4376,Male,17,Rural,greater than 3,Together,primary (5th-9th grade),primary (5th-9th grade),other,services,mother,2,2,1,no,yes,yes,yes,no,no,yes,2,4,5,fair,91,Florida,White,64,71,36,78.69,3,1,no,no,0,medium
ID-3380,Male,19,Rural,greater than 3,Together,primary (4th grade),primary (4th grade),teacher,other,other,3,1,4,no,yes,yes,yes,no,no,yes,2,5,5,fair,82,Texas,Asian,19,28,67,79.45,2,1,yes,no,1,low
ID-2697,Male,19,Rural,greater than 3,Together,secondary,higher education,at_home,at_home,mother,3,4,4,yes,no,yes,yes,no,yes,no,2,2,1,excellent,32,California,White,28,4,37,87.21,1,0,no,yes,1,medium
ID-4932,Male,18,Rural,greater than 3,Apart,secondary,higher education,at_home,at_home,mother,3,3,2,no,no,yes,yes,yes,no,yes,5,2,5,fair,52,California,Hispanic,74,59,80,77.23,0,0,yes,no,2,high
ID-1421,Male,18,Rural,greater than 3,Together,primary (4th grade),secondary,teacher,health,mother,4,4,4,no,no,yes,no,no,no,yes,3,3,1,excellent,70,California,Hispanic,72,18,60,78.32,0,1,yes,no,4,medium
ID-1838,Male,17,Rural,greater than 3,Apart,higher education,primary (4th grade),health,health,father,1,1,1,no,no,yes,yes,no,yes,no,4,3,3,poor,42,California,Asian,15,34,60,97.04,1,1,no,yes,4,medium
ID-443,Male,17,Rural,greater than 3,Together,higher education,none,health,other,other,3,1,2,no,yes,yes,yes,yes,yes,no,1,1,2,poor,52,California,White,79,45,92,91.82,0,1,no,yes,2,high
ID-1089,Male,15,Rural,greater than 3,Apart,primary (4th grade),none,at_home,services,other,4,1,4,no,no,yes,yes,yes,no,no,1,2,3,fair,89,Texas,Other,32,45,14,85.15,0,0,no,yes,3,medium
ID-3599,Male,15,Rural,greater than 3,Apart,none,primary (5th-9th grade),services,other,mother,1,3,4,yes,yes,no,yes,no,no,yes,2,1,1,good,79,Florida,Other,54,44,27,91.12,0,0,yes,no,2,medium
ID-2722,Male,18,Rural,greater than 3,Apart,higher education,higher education,services,at_home,mother,3,1,2,yes,yes,no,no,yes,no,no,3,4,5,poor,50,Texas,Hispanic,18,38,86,83.24,0,1,yes,no,4,low
ID-2372,Male,18,Rural,greater than 3,Apart,primary (4th grade),higher education,at_home,teacher,father,4,3,3,no,yes,no,yes,no,no,no,5,2,3,excellent,10,Texas,Asian,88,40,66,97.37,0,1,no,no,3,medium
ID-2261,Male,15,Rural,greater than 3,Apart,secondary,primary (4th grade),at_home,teacher,mother,1,3,4,no,no,yes,yes,no,yes,no,5,4,5,poor,64,Texas,Other,49,88,20,75.29,2,1,no,yes,4,low
ID-3149,Male,15,Rural,greater than 3,Together,none,primary (4th grade),health,health,other,3,3,4,no,yes,no,no,yes,yes,no,1,2,4,poor,49,California,Hispanic,33,17,28,75.13,0,0,yes,no,3,low
ID-2992,Male,16,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),other,teacher,other,1,3,1,no,yes,yes,no,yes,yes,no,4,3,2,peak,68,California,Hispanic,63,58,60,71.78,0,1,no,no,1,high
ID-4492,Male,16,Rural,greater than 3,Together,none,primary (5th-9th grade),other,at_home,father,3,2,1,no,yes,no,yes,yes,no,no,5,4,4,peak,32,Texas,White,23,86,15,75.4,2,1,yes,yes,0,low
ID-956,Male,15,Rural,greater than 3,Apart,primary (4th grade),higher education,teacher,other,other,3,3,4,yes,yes,no,no,yes,no,no,2,1,5,peak,65,Florida,Asian,31,29,42,76.61,1,1,yes,no,2,medium
ID-4268,Male,16,Rural,greater than 3,Together,primary (5th-9th grade),secondary,other,other,father,3,4,3,no,no,no,yes,yes,yes,no,2,5,5,excellent,32,Texas,Other,2,64,23,95.82,0,0,no,no,3,high
ID-742,Male,19,Rural,greater than 3,Together,primary (5th-9th grade),primary (5th-9th grade),at_home,health,other,1,4,4,yes,yes,no,no,no,yes,no,1,5,5,poor,23,Texas,White,12,89,95,85.26,0,0,yes,no,4,high
ID-719,Male,18,Rural,greater than 3,Apart,secondary,higher education,teacher,teacher,father,2,2,2,no,no,no,no,yes,no,yes,4,4,5,good,12,Texas,African American,93,83,30,76.18,0,0,no,yes,1,medium
ID-863,Male,18,Rural,greater than 3,Together,primary (5th-9th grade),primary (4th grade),teacher,at_home,father,1,2,1,no,yes,no,no,no,no,yes,5,5,4,peak,6,California,Asian,86,40,97,95.55,3,1,yes,no,3,high
ID-3866,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),primary (4th grade),other,services,other,4,4,1,yes,no,no,yes,yes,yes,no,1,1,1,excellent,34,Florida,Hispanic,93,84,84,72.28,2,0,yes,yes,4,high
ID-1562,Male,17,Rural,greater than 3,Together,higher education,secondary,at_home,health,mother,2,3,1,yes,yes,no,no,yes,yes,no,5,3,4,excellent,18,Texas,White,11,54,12,78.52,0,1,no,no,1,medium
ID-881,Male,15,Rural,greater than 3,Apart,higher education,secondary,teacher,other,mother,4,4,4,yes,no,no,yes,yes,no,yes,5,4,3,good,69,Florida,Other,61,58,24,98.16,3,1,yes,yes,4,medium
ID-3623,Male,16,Rural,greater than 3,Together,primary (4th grade),primary (5th-9th grade),health,at_home,father,1,3,4,yes,no,yes,no,yes,yes,yes,4,4,1,good,52,Florida,Hispanic,44,44,5,99.05,2,0,yes,yes,2,low
ID-2902,Male,17,Rural,greater than 3,Together,secondary,higher education,teacher,services,mother,3,3,4,yes,no,no,no,yes,no,no,3,2,1,poor,89,Florida,Hispanic,23,83,85,81.11,0,0,no,yes,4,medium
ID-4297,Male,16,Rural,greater than 3,Together,primary (5th-9th grade),primary (5th-9th grade),health,other,father,1,1,4,yes,no,no,no,no,yes,no,2,4,3,fair,22,California,Other,23,66,78,94.14,3,0,yes,no,0,low
ID-2798,Male,19,Rural,greater than 3,Apart,secondary,primary (5th-9th grade),other,other,mother,1,1,1,yes,yes,yes,yes,no,yes,no,3,4,4,excellent,9,Florida,African American,93,16,42,74.68,3,0,yes,yes,2,medium
ID-3373,Male,16,Rural,greater than 3,Apart,none,secondary,other,other,mother,3,1,4,yes,no,yes,yes,yes,yes,no,2,2,2,good,35,California,Asian,80,90,81,96.73,3,0,no,yes,1,medium
ID-2080,Male,19,Rural,greater than 3,Apart,none,primary (5th-9th grade),health,teacher,mother,4,4,1,no,no,no,no,yes,yes,yes,3,5,5,poor,93,Florida,Asian,14,81,94,93.77,1,0,yes,no,0,high
ID-3073,Male,19,Rural,greater than 3,Apart,primary (4th grade),higher education,at_home,services,father,4,1,1,no,yes,no,yes,yes,no,yes,3,3,4,peak,72,Texas,Hispanic,99,73,50,89.76,2,1,yes,no,1,medium
ID-399,Male,16,Rural,greater than 3,Together,primary (4th grade),primary (4th grade),at_home,at_home,mother,3,1,1,yes,yes,yes,no,yes,no,no,5,3,2,poor,60,California,White,49,19,74,95.13,1,0,no,yes,0,high
ID-3823,Male,16,Rural,greater than 3,Together,secondary,none,other,services,father,2,1,2,no,yes,no,no,yes,yes,yes,3,5,5,good,93,California,African American,87,22,88,86.87,2,1,yes,yes,2,medium
ID-1990,Male,19,Rural,greater than 3,Apart,secondary,secondary,services,other,mother,3,4,2,yes,no,no,no,no,yes,yes,5,3,2,poor,63,California,African American,95,63,40,79.97,3,0,no,yes,3,medium
ID-3929,Male,17,Rural,greater than 3,Together,secondary,higher education,other,at_home,other,1,3,4,no,no,no,yes,no,yes,yes,4,3,2,fair,13,Texas,Hispanic,87,7,88,89.95,2,0,yes,yes,4,medium
ID-2735,Male,19,Rural,greater than 3,Together,primary (5th-9th grade),higher education,at_home,services,father,2,1,4,no,no,yes,no,no,no,yes,3,1,3,fair,36,California,White,66,100,81,89.92,2,0,yes,yes,4,high
ID-3276,Male,18,Rural,greater than 3,Apart,primary (4th grade),primary (5th-9th grade),health,at_home,father,4,1,3,yes,no,no,yes,no,yes,yes,2,1,3,good,5,Texas,Other,44,64,34,87.4,2,1,no,no,2,low
ID-4800,Male,19,Rural,greater than 3,Apart,secondary,secondary,teacher,health,other,2,4,1,no,no,yes,yes,yes,yes,yes,3,1,2,excellent,68,Florida,Other,64,59,43,93.62,3,1,yes,yes,4,high
ID-3529,Male,17,Rural,greater than 3,Apart,higher education,primary (4th grade),health,teacher,father,4,3,1,yes,no,yes,yes,yes,yes,yes,3,2,5,good,10,Florida,Hispanic,19,6,13,71.6,1,1,no,no,0,low
ID-1880,Male,18,Rural,greater than 3,Apart,higher education,higher education,teacher,health,father,4,4,1,no,no,no,yes,no,no,yes,2,1,3,peak,70,Texas,White,20,3,55,89.17,0,0,no,no,4,high
ID-663,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),none,at_home,other,mother,1,4,2,yes,yes,no,no,no,no,yes,4,2,3,excellent,9,California,African American,11,27,83,87.3,1,0,no,yes,4,medium
ID-2763,Male,15,Rural,greater than 3,Together,higher education,secondary,services,teacher,mother,1,3,1,no,no,no,yes,yes,yes,yes,5,3,2,peak,17,Florida,African American,99,18,57,76.62,0,1,no,no,1,high
ID-3020,Male,17,Rural,greater than 3,Apart,higher education,primary (4th grade),other,services,father,1,4,4,no,no,no,yes,no,no,yes,4,3,3,excellent,74,California,African American,84,5,42,72.62,1,0,yes,yes,0,low
ID-2148,Male,19,Rural,greater than 3,Apart,secondary,secondary,at_home,other,other,1,3,4,no,no,yes,no,no,yes,yes,5,1,5,excellent,81,Texas,Asian,82,25,58,84.1,1,0,no,yes,0,medium
ID-1894,Male,16,Rural,greater than 3,Together,secondary,primary (4th grade),teacher,health,other,2,4,4,no,yes,yes,no,yes,yes,no,5,2,3,fair,92,Texas,African American,18,39,54,77.62,2,1,yes,yes,2,low
ID-2010,Male,17,Rural,greater than 3,Together,none,primary (5th-9th grade),other,at_home,mother,2,2,1,no,yes,yes,no,no,no,no,5,3,2,fair,2,California,Other,100,100,36,93.17,2,0,yes,yes,2,low
ID-3864,Male,18,Rural,greater than 3,Together,primary (4th grade),none,teacher,teacher,father,1,1,1,no,yes,yes,yes,no,yes,no,1,3,4,peak,50,California,White,1,18,33,84.71,2,0,no,yes,0,medium
ID-4045,Male,18,Rural,greater than 3,Apart,none,secondary,other,services,other,3,4,3,no,yes,yes,no,no,no,no,1,4,5,poor,12,Florida,African American,32,80,45,98.85,3,0,yes,no,0,high
ID-4012,Male,15,Rural,greater than 3,Apart,secondary,secondary,at_home,at_home,father,2,3,1,yes,no,no,no,yes,yes,no,2,1,3,excellent,18,California,Hispanic,36,92,47,98.67,3,0,yes,no,2,medium
ID-3667,Male,18,Rural,greater than 3,Apart,higher education,higher education,other,other,other,1,1,4,no,yes,yes,no,yes,no,yes,5,4,2,fair,68,California,Hispanic,9,20,89,96.44,1,1,no,yes,1,low
ID-3175,Male,17,Rural,greater than 3,Apart,higher education,primary (4th grade),services,teacher,other,4,4,1,yes,yes,yes,yes,yes,yes,yes,4,2,3,good,24,Texas,Other,31,4,39,88.89,2,1,no,yes,4,low
ID-1015,Male,18,Rural,greater than 3,Apart,primary (4th grade),none,other,health,other,3,3,4,no,no,yes,no,yes,yes,no,5,4,3,fair,92,California,African American,93,16,19,87.96,2,1,yes,yes,0,high
ID-4406,Male,17,Rural,greater than 3,Together,higher education,none,other,other,mother,1,2,1,yes,yes,no,yes,no,yes,no,2,1,4,peak,31,Florida,Other,80,37,41,76.54,3,1,yes,no,2,low
ID-735,Male,16,Rural,greater than 3,Apart,none,primary (5th-9th grade),health,teacher,other,4,4,2,no,no,no,yes,yes,yes,yes,3,3,5,peak,34,California,Other,29,61,71,91.52,1,0,yes,no,3,high
ID-1119,Male,15,Rural,greater than 3,Together,none,none,other,health,father,3,4,2,yes,yes,yes,yes,no,yes,no,4,5,1,good,51,Florida,Other,13,39,63,97.43,3,0,no,no,2,low
ID-2468,Male,18,Rural,greater than 3,Together,higher education,secondary,services,health,other,1,2,4,yes,yes,no,no,no,yes,no,1,3,3,poor,54,California,Asian,4,6,22,79.41,1,1,no,yes,2,low
ID-4595,Male,17,Rural,greater than 3,Apart,secondary,primary (4th grade),at_home,other,other,4,3,4,no,yes,no,no,yes,no,yes,3,5,1,good,63,Texas,African American,35,26,50,95.3,0,1,no,no,1,medium
ID-1047,Male,19,Rural,greater than 3,Apart,higher education,secondary,teacher,services,mother,3,4,4,yes,yes,yes,yes,no,no,yes,4,3,3,poor,80,California,Hispanic,76,30,98,82.31,2,1,no,no,2,high
ID-3067,Male,15,Rural,greater than 3,Apart,higher education,secondary,at_home,teacher,mother,2,4,3,no,yes,no,yes,yes,yes,no,5,4,3,excellent,89,California,Asian,57,97,11,98.65,2,0,yes,yes,3,low
ID-3156,Male,16,Rural,greater than 3,Together,none,secondary,health,at_home,mother,4,4,2,yes,no,yes,no,yes,no,yes,3,1,1,excellent,2,California,Other,79,61,50,81.96,2,0,yes,no,1,medium
ID-3310,Male,17,Rural,greater than 3,Together,higher education,primary (5th-9th grade),teacher,other,mother,3,4,1,yes,no,no,no,yes,yes,yes,2,2,5,excellent,35,California,Hispanic,12,25,2,93.17,0,0,no,no,2,low
ID-4491,Male,16,Rural,greater than 3,Apart,primary (4th grade),none,services,services,other,3,4,1,no,yes,yes,no,yes,no,no,4,2,2,fair,82,California,Other,92,69,6,94.29,2,1,no,yes,2,high
ID-4269,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),primary (4th grade),teacher,health,father,2,4,4,no,yes,no,no,no,no,yes,4,1,1,excellent,44,Texas,Asian,87,30,36,91.34,1,0,yes,no,1,high
ID-3098,Male,18,Rural,greater than 3,Together,primary (5th-9th grade),higher education,at_home,teacher,mother,2,4,1,no,yes,yes,yes,no,no,no,3,1,3,poor,68,Florida,White,17,11,19,81.47,0,1,yes,no,2,medium
ID-2569,Male,18,Rural,greater than 3,Together,none,secondary,health,services,father,1,2,4,yes,no,no,no,yes,no,no,4,1,2,excellent,31,California,Other,7,14,87,74.68,0,1,no,no,4,high
ID-4201,Male,17,Rural,greater than 3,Apart,secondary,higher education,other,at_home,other,4,2,4,no,yes,no,yes,no,no,yes,2,3,4,poor,45,Texas,Other,68,57,57,73,1,0,yes,yes,3,high
ID-2943,Male,19,Rural,greater than 3,Together,primary (4th grade),higher education,teacher,at_home,mother,2,2,4,no,no,no,yes,yes,no,no,4,2,3,good,16,Florida,Hispanic,47,0,88,72.81,3,1,no,no,1,low
ID-3887,Male,17,Rural,greater than 3,Apart,none,primary (4th grade),services,services,mother,3,4,3,yes,yes,no,yes,no,yes,no,4,2,3,excellent,54,Florida,Hispanic,77,61,18,93.09,3,1,yes,yes,2,low
ID-1594,Male,19,Rural,greater than 3,Together,none,primary (4th grade),teacher,teacher,father,3,2,1,yes,yes,yes,no,no,yes,yes,2,3,2,excellent,7,California,Other,2,58,26,81.43,2,0,yes,yes,4,medium
ID-3107,Male,16,Rural,greater than 3,Together,secondary,secondary,health,at_home,other,2,2,4,yes,no,yes,no,yes,yes,no,5,5,2,peak,5,Florida,African American,69,89,76,81.41,2,1,yes,no,2,high
ID-61,Male,15,Rural,greater than 3,Apart,secondary,none,other,other,other,4,3,4,yes,no,yes,no,no,no,yes,4,5,4,good,62,California,Hispanic,16,36,85,76.05,1,0,yes,no,2,high
ID-2779,Male,17,Rural,greater than 3,Apart,primary (5th-9th grade),secondary,at_home,at_home,father,1,3,4,no,no,no,yes,yes,yes,no,2,3,3,fair,43,Texas,White,50,5,35,76.44,3,0,yes,yes,4,medium
ID-1998,Male,17,Rural,greater than 3,Apart,primary (4th grade),primary (5th-9th grade),at_home,teacher,mother,3,2,4,no,no,no,no,yes,yes,yes,1,2,2,poor,67,California,White,56,23,59,81.43,1,0,yes,no,0,low
ID-1462,Male,19,Rural,greater than 3,Apart,primary (5th-9th grade),higher education,services,health,father,1,2,1,no,no,no,yes,no,yes,yes,3,5,1,excellent,33,Texas,Other,42,46,22,76.36,2,0,yes,no,4,high
ID-4755,Male,16,Rural,greater than 3,Apart,none,primary (4th grade),services,health,father,4,2,4,no,yes,yes,no,no,no,yes,2,4,5,excellent,91,Florida,Hispanic,41,63,83,89.02,1,0,no,yes,1,high
ID-1790,Male,16,Rural,greater than 3,Together,secondary,primary (5th-9th grade),other,teacher,mother,3,4,3,yes,no,yes,yes,yes,no,no,3,5,2,excellent,90,California,White,28,35,29,95.54,1,1,no,no,1,low
ID-4653,Male,19,Rural,greater than 3,Apart,primary (5th-9th grade),primary (4th grade),other,teacher,other,1,2,1,no,yes,no,no,yes,no,no,1,4,4,poor,87,Texas,Asian,85,82,82,90.35,2,0,no,no,0,low
ID-3554,Male,16,Rural,greater than 3,Together,primary (4th grade),none,other,other,father,3,1,3,yes,yes,no,yes,yes,yes,no,5,2,3,poor,27,California,White,97,55,90,78.9,0,1,yes,yes,1,medium
ID-2287,Male,18,Rural,greater than 3,Apart,primary (4th grade),higher education,teacher,services,mother,1,2,3,no,no,yes,no,no,no,yes,3,3,4,peak,93,California,Hispanic,54,81,38,79.67,1,1,no,yes,0,low
ID-1548,Male,15,Rural,greater than 3,Together,primary (5th-9th grade),higher education,other,services,mother,4,3,3,yes,no,yes,yes,yes,yes,no,1,5,2,good,59,Florida,Other,69,79,65,88.48,2,0,no,yes,4,high
ID-232,Male,17,Rural,greater than 3,Together,secondary,none,teacher,other,other,2,4,1,no,no,yes,no,no,yes,no,2,3,2,peak,40,Florida,White,42,16,33,88.54,3,0,yes,no,2,medium
ID-2198,Male,15,Rural,greater than 3,Apart,primary (4th grade),none,teacher,health,father,1,1,4,yes,yes,no,no,no,yes,no,4,2,3,fair,82,Florida,Other,59,10,8,92.53,3,1,no,no,2,low
ID-2816,Male,17,Rural,greater than 3,Together,primary (4th grade),secondary,other,health,other,4,1,1,yes,no,yes,no,yes,yes,no,5,4,4,peak,25,Florida,Asian,40,3,84,98.08,2,1,yes,no,0,medium
ID-2769,Male,18,Rural,greater than 3,Together,primary (4th grade),primary (4th grade),other,at_home,mother,4,2,4,no,no,yes,no,no,yes,yes,2,4,1,good,14,California,White,90,79,83,76.77,3,0,no,no,2,low
ID-2638,Male,16,Rural,greater than 3,Apart,primary (5th-9th grade),secondary,other,other,other,3,3,3,no,no,yes,no,yes,no,yes,5,2,1,fair,13,California,Other,48,8,71,78.7,2,1,yes,yes,0,high
ID-3066,Male,19,Rural,greater than 3,Apart,primary (4th grade),secondary,health,teacher,other,3,2,2,no,no,no,yes,yes,no,yes,1,2,3,good,83,California,White,77,86,49,91.61,3,0,no,yes,1,high
ID-1913,Male,18,Rural,greater than 3,Apart,higher education,primary (4th grade),teacher,health,mother,4,3,1,yes,yes,no,yes,no,yes,yes,1,2,5,excellent,36,Texas,White,83,73,84,73.62,3,1,yes,yes,1,medium
ID-992,Male,15,Rural,greater than 3,Apart,primary (5th-9th grade),higher education,other,services,mother,1,4,2,no,yes,no,yes,yes,yes,no,3,5,2,peak,70,Texas,Hispanic,26,89,79,77.25,0,1,no,no,3,medium
ID-746,Male,19,Rural,greater than 3,Together,secondary,none,teacher,other,mother,1,2,4,no,yes,yes,no,yes,yes,yes,1,1,5,poor,31,California,Hispanic,2,99,0,76.91,3,0,yes,yes,3,medium
ID-728,Male,16,Rural,greater than 3,Together,higher education,higher education,teacher,at_home,other,1,4,1,no,yes,yes,no,no,yes,yes,2,5,1,excellent,8,Florida,African American,80,38,1,76.38,1,1,yes,yes,1,medium
ID-1279,Male,18,Rural,greater than 3,Together,secondary,none,other,other,father,4,1,2,no,no,yes,yes,no,yes,yes,2,4,1,good,36,Texas,Hispanic,67,66,68,91.14,1,1,no,no,1,low
ID-4416,Male,19,Rural,greater than 3,Together,higher education,primary (4th grade),teacher,at_home,other,2,2,1,yes,yes,yes,no,no,yes,yes,1,1,4,excellent,8,Texas,Hispanic,41,83,34,75.79,0,0,no,no,1,medium
ID-1515,Male,18,Rural,greater than 3,Together,none,higher education,services,at_home,father,2,2,2,no,no,yes,no,no,yes,yes,1,5,2,good,18,California,African American,76,80,73,95.8,2,0,no,no,3,low
